model,name,prmean,prmean_bias,r1mm_pct,r1mm_pct_bias,sdii,sdii_bias,cdd,cdd_bias,prcptot,prcptot_bias,pcorr
M16,CESM2,5.992565498833332,0.7702781582819052,63.20372101478949,7.641068465278721,9.378068952784586,0.07124082718528335,26.534888502680126,7.787049295339603,1090.646920570852,139.0108192542466,0.8603298032641183
M17,CESM2-WACCM,6.186074631336937,0.9637872907855103,62.6212636236999,7.0586110741891375,9.746751984826831,0.4399238592275285,30.02721409602441,11.279374888683886,1125.8655832455845,174.2294819289791,0.888904265708063
M18,CMCC-CM2-SR5,6.8484530120105545,1.6261656714591277,78.41074200821798,22.848089458707214,8.663668827575002,-0.643159298024301,17.089874328897004,-1.6579648784435186,1246.4184482482005,294.78234693159516,0.647415889276945
M19,CNRM-CM6-1,3.4563947509822754,-1.7658925895691513,44.66124842797279,-10.901404121537979,7.348029569231646,-1.9587985563676567,28.203733699486868,9.455894492146346,629.8622798289655,-321.7738214876399,0.7374515709292782
M20,CNRM-ESM2-1,3.4722434869228587,-1.750043853628568,44.66766585151822,-10.894986697992543,7.423089437797165,-1.883738687802138,34.27990327581934,15.532064068478821,632.7472095326191,-318.8888917839863,0.7863129928802767
M21,EC-Earth3-CC,6.484796115473657,1.26250877492223,72.82145198226208,17.25879943275131,8.827558286792941,-0.47926983880636165,23.55639280502146,4.8085535976809375,1181.7202656064337,230.08416428982832,0.44690701583418496
M22,EC-Earth3-Veg-LR,6.2844235633453716,1.0621362227939448,75.61612771989063,20.053475170379862,8.264593978699656,-1.0422341468996468,23.72702466055196,4.979185453211439,1145.3083197470044,193.67221843039897,0.39422891495413065
M23,FGOALS-g3,5.3864403440305475,0.16415300347912076,68.46864542180839,12.905992872297624,7.411774724769025,-1.8950534008302782,13.288657523259179,-5.459181684081344,980.332142767306,28.69604145070059,0.8318501991955085
M24,GFDL-ESM4,7.448038490691548,2.2257511501401215,71.19122057811879,15.628568028608022,10.310005750847495,1.0031776252481919,23.304174465213443,4.55633525787292,1355.5430051046092,403.9069037880038,0.8796934550466861
M25,HadGEM3-GC31-MM,6.386936533997346,1.1646491934459196,65.85816916479402,10.295516615283255,9.51704271988126,0.21021459428195755,16.804930536220155,-1.9429086711203674,1149.6485761344024,198.01247481779706,0.866276772855534
M26,INM-CM4-8,7.051169580506794,1.8288822399553677,85.05272547797148,29.490072928460712,8.216377174517005,-1.090450951082298,7.272972059330032,-11.47486714801049,1283.3128636971421,331.67676238053673,0.7372126570101994
M27,KACE-1-0-G,6.4032604363767485,1.1809730958253217,73.33420801366837,17.771555464157608,8.623373910002377,-0.6834542155969263,14.089838375775727,-4.658000831564795,1152.5868786664805,200.95077734987512,0.7758516727454159
M28,MPI-ESM1-2-LR,6.132927477066493,0.9106401365150667,68.21023593170425,12.647583382193481,8.89272810662382,-0.414100018975482,19.343727960360404,0.5958887530198815,1117.643725606074,166.0076242894686,0.47011588369174356
M29,NESM3,8.090425276975438,2.868137936424011,73.20511600681695,17.642463457306185,10.982128457449322,1.6753003318500195,17.798110107561982,-0.9497290997785406,1474.3414191241372,522.7053178075319,0.5054340723701582
